Name,Key,Mode,Key Signature
Breaking Me,8,0,A♭ Minor
Happier Than Ever,0,1,C Major
Paradise,5,1,F Major
Savage Love (Laxed - Siren Beat),0,0,C Minor
Swalla (feat. Nicki Minaj & Ty Dolla $ign),1,1,C♯/D♭ Major
Here Comes The Sun - Remastered 2009,9,1,A Major
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",9,0,A Minor
Grenade,2,0,D Minor
Story of My Life,3,1,E♭ Major
Safe And Sound,0,1,C Major
Fast Car,9,1,A Major
Ho Hey,0,1,C Major
Efecto,7,0,G Minor
Need to Know,1,1,C♯/D♭ Major
Yeah! (feat. Lil Jon & Ludacris),2,1,D Major
Body,1,1,C♯/D♭ Major
Don't,11,0,B/C♭ Minor
Where Are Ü Now (with Justin Bieber),4,0,E Minor
How to Save a Life,10,1,B♭ Major
Come As You Are,4,0,E Minor
White Iverson,7,1,G Major
See You Again (feat. Kali Uchis),6,1,F♯/G♭ Major
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",11,0,B/C♭ Minor
Fortunate Son,0,1,C Major
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",0,1,C Major
Ophelia,5,1,F Major
Always Remember Us This Way,0,1,C Major
Centuries,4,0,E Minor
Thrift Shop (feat. Wanz),6,0,F♯/G♭ Minor
Running Up That Hill (A Deal With God),10,0,B♭ Minor
"Let Me Go (with Alesso, Florida Georgia Line & watt)",8,1,A♭ Major
Falling,4,1,E Major
Revenge,11,0,B/C♭ Minor
Praise The Lord (Da Shine) (feat. Skepta),5,0,F Minor
Firestone,11,0,B/C♭ Minor
For The Night (feat. Lil Baby & DaBaby),6,0,F♯/G♭ Minor
Wet Dreamz,6,0,F♯/G♭ Minor
DNA.,1,1,C♯/D♭ Major
FourFiveSeconds,2,1,D Major
Falling Down - Bonus Track,4,0,E Minor
abcdefu,4,1,E Major
Dancing Queen,9,1,A Major
I Wanna Dance with Somebody (Who Loves Me),1,1,C♯/D♭ Major
It's You,11,0,B/C♭ Minor
Wild Thoughts (feat. Rihanna & Bryson Tiller),8,1,A♭ Major
Toxic,5,0,F Minor
Nonstop,7,1,G Major
Sultans of Swing,5,1,F Major
